"","GSE45480","GSE56109","GSE25771","GSE35953","Barcode_aCGH"
"NB242","NB21","","G3_Cologne_251275011613.txt","","251275011613"
"NB056","NB9","","","","251275012999"
"NB022","NB3","","","","251270010385"
"NB038","NB121","NB11","","","251469811081_1_2"
"NB084","NB141","","G2_Cologne_251469812850_1_2.txt","","251469812850_1_2"
"NB088","NB31","","G2_Cologne_251275011631.txt","","251275011631"
"NB281","NB135","","G1_Cologne_251469812732_1_1.txt","","251469812732_1_1"
"NB023","NB2","","","","251270010382"
"NB075","NB25","","","","251275011619"
"NB085","NB54","","G2_Cologne_251275011670.txt","","251275011670"
"NB289","NB73","","G1_Cologne_251328220491.txt","","251328220491"
"NB387","NB10","","G2_Cologne_251270010387.txt","","251270010387"
"NB052","","NB14","","","251469812539_1_2"
"NB389","NB14","","","Cologne_251275011600","251275011600"
"NB496","NB39","","","","251275011644"
"NB090","NB22","","G3_Cologne_251275011614.txt","","251275011614"
"NB034","NB120","","","","251469811081_1_1"
"NB083","","","","Cologne_251270010270","251270010270"
"NB013","NB30","","G3_Cologne_251275011628.txt","","251275011628"
"NB092","NB13","","G3_Cologne_251275011598.txt","","251275011598"
"NB010","NB41","","","","251275011647"
"NB050","NB5","NB33","","","251275013001"
"NB251","NB16","","","Cologne_251275011608","251275011608"
"NB136","","NB25","","","251275011623"
"NB076","NB126","","","","251469812323_1_2"
"NB109","NB40","","","","251275011646"
"NB063","NB71","","","","251328220489"
"NB385","NB148","","","","251469812909_1_2"
"NB286","NB52","","G1_Cologne_251275011668.txt","","251275011668"
"NB113","","NB26","","","251275011625"
"NB067","NB127","","","","251469812324_1_1"
"NB398","NB24","","G1_Cologne_251275011617.txt","","251275011617"
"NB002","NB48","","G3_Cologne_251275011662.txt","","251275011662"
"NB285","NB130","","G1_Cologne_251469812541_1_1.txt","","251469812541_1_1"
"NB278","NB51","","G1_Cologne_251275011667.txt","","251275011667"
"NB384","NB11","","","","251275011592"
"NB396","NB149","","","","251469812910_1_2"
"NB101","NB123","","","","251469811082_1_2"
"NB119","NB33","","","","251275011634"
"NB086","NB6","","","","251275011776"
"NB094","NB18","","G3_Cologne_251275011610.txt","","251275011610"
"NB275","NB131","","G1_Cologne_251469812542_1_1.txt","","251469812542_1_1"
"NB149","NB29","","","","251275011626"
"NB270","NB19","","","","251275011611"
"NB143","NB20","","","Cologne_251275011612","251275011612"
"NB383","","","G3_Cologne_251275011661.txt","","251275011661"
"NB080","NB42","","","","251275011648"
"NB093","NB46","","G2_Cologne_251275011659.txt","","251275011659"
"NB268","NB53","","G3_Cologne_251275011669.txt","","251275011669"
"NB106","","NB15","","","251469812849_1_1"
"NB397","NB50","","G1_Cologne_251275011664.txt","","251275011664"
"NB003","NB35","","G3_Cologne_251275011636.txt","","251275011636"
"NB089","","","G2_Cologne_251275011655.txt","","251275011655"
"NB271","NB47","","G3_Cologne_251275011660.txt","","251275011660"
"NB245","NB152","","","","251469812930_1_1"
"NB099","NB43","","","","251275011652"
"NB008","NB125","","","","251469812323_1_1"
"NB267","NB36","","G3_Cologne_251275011639.txt","","251275011639"
"NB040","","NB24","","","251275011602"
"NB366","NB122","","","","251469811082_1_1"
"NB478","NB61","","","Cologne_251275011698","251275011698"
"NB091","NB58","","","","251275011691"
"NB283","NB140","","G1_Cologne_251469812734_1_2.txt","","251469812734_1_2"
"NB001","NB45","","G3_Cologne_251275011658.txt","","251275011658"
"NB117","NB72","","","","251328220490"
"NB074","","NB23","","","251469814896_1_1"
"NB073","NB26","","","","251275011620"
"NB261","NB32","","","Cologne_251275011633","251275011633"
"NB240","NB59","","","","251275011693"
"NB123","NB38","","","","251275011642"
"NB130","NB8","","","","251275011653"
"NB122","NB27","","","","251275011621"
"NB432","NB60","","","","251275011694"
"NB125","NB44","","","","251275011656"
"NB138","NB115","","","","251469810685_1_1"
"NB170","NB17","","","","251275011609"
"NB274","NB136","","G1_Cologne_251469812732_1_2.txt","","251469812732_1_2"
"NB019","NB119","","","","251469810782_1_1"
"NB120","NB37","","","","251275011640"
"NB007","NB7","","","","251275013178"
"NB124","NB70","","","","251328220488"
"NB284","","","G1_Cologne_251275011688.txt","","251275011688"
"NB108","NB143","","G2_Cologne_251469812851_1_2.txt","","251469812851_1_2"
"NB140","NB95","","","","251469810665_1_1"
"NB069","NB69","","","","251328220170"
"NB498","NB124","","","","251469811083_1_1"
"NB291","NB137","","G1_Cologne_251469812733_1_1.txt","","251469812733_1_1"
"NB196","NB113","","","","251469810683_1_2"
"NB288","NB138","","G1_Cologne_251469812733_1_2.txt","","251469812733_1_2"
"NB287","NB65","","G1_Cologne_251328219422.txt","","251328219422"
"NB016","","","G1_Cologne_251469810782_1_2.txt","","251469810782"
"NB005","NB116","","G3_Cologne_251469810686_1_2.txt","","251469810686_1_2"
"NB051","NB139","","G1_Cologne_251469812734_1_1.txt","","251469812734_1_1"
"NB311","NB55","","G1_Cologne_251275011682.txt","","251275011682"
"NB137","NB28","","","","251275011624"
"NB359","NB87","","","","251469810680_1_1"
"NB167","NB128","","","","251469812326_1_2"
"NB257","NB153","","","","251469814842_1_1"
"NB177","NB67","","","","251328220167"
"NB394","NB75","","","","251328224479"
"NB182","NB76","","","","251328224480"
"NB184","NB77","","","","251328224481"
"NB301","NB91","","G1_Cologne_251469810680_1_2.txt","","251469810680_1_2"
"NB190","NB154","","","","251469814843_1_1"
"NB250","NB81","","","","251469810681_1_1"
"NB168","NB96","","","","251469810665_1_2"
"NB474","NB97","","","","251469810666_1_2"
"NB421","","","G1_Cologne_251469810667_1_2.txt","","251469810667"
"NB412","","NB9","","","251469810781_1_1"
"NB163","NB99","","","","251469810668_1_2"
"NB237","","NB10","","","251469810781_1_2"
"NB303","NB98","","","","251469810668_1_1"
"NB185","NB103","","","","251469810674_1_1"
"NB164","NB104","","","","251469810674_1_2"
"NB315","NB106","","","","251469810677_1_1"
"NB179","NB68","","","","251328220169"
"NB313","NB107","","","","251469810677_1_2"
"NB178","NB92","","","","251469810660_1_1"
"NB158","NB108","","","","251469810678_1_1"
"NB473","NB109","","","","251469810678_1_2"
"NB310","NB110","","G1_Cologne_251469810679_1_1.txt","","251469810679_1_1"
"NB392","NB111","","G3_Cologne_251469810679_1_2.txt","","251469810679_1_2"
"NB393","NB85","","","","251469810663_1_1"
"NB316","NB132","","","","251469812542_1_2"
"NB266","","NB2","","","251469810664_1_1"
"NB309","NB133","","G1_Cologne_251469812543_1_2.txt","","251469812543_1_2"
"NB360","","NB4","","","251469810669_1_2"
"NB230","NB112","","","","251469810683_1_1"
"NB218","NB102","","","","251469810671_1_2"
"NB201","NB100","","","","251469810669_1_1"
"NB314","NB101","","","","251469810671_1_1"
"NB213","NB144","","","","251469812852_1_1"
"NB202","NB145","","","","251469812852_1_2"
"NB223","NB146","","","","251469812853_1_1"
"NB231","NB147","","","","251469812853_1_2"
"NB204","NB155","","","","251469814846_1_1"
"NB232","NB156","","","","251469814846_1_2"
"NB160","NB94","","","","251469814847_1_1"
"NB181","NB158","","","","251469814848_1_2"
"NB161","NB161","","","","251469814850_1_1"
"NB157","NB162","","","","251469814850_1_2"
"NB292","NB160","","","","251469814849_1_2"
"NB211","NB163","","","","251469814890_1_1"
"NB214","NB164","","","","251469814890_1_2"
"NB472","NB167","","","","251469814892_1_2"
